Unnamed: 0,consult,output
77,"
SELECT DISTINCT?uri WHERE {?x <http://dbpedia.org/ontology/composer> <http://dbpedia.org/resource/Emil_Dean_Zoghby>.?x <http://dbpedia.org/ontology/author>?uri .?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Musical>}
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
78,None,"['output error: QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. \n\nResponse:\nb""Virtuoso 37000 Error SP030: SPARQL compiler, line 3: syntax error at \'None\' before \'}\'\\n\\nSPARQL query:\\ndefine sql:big-data-const 0\\n#output-format:application/sparql-results+json\\nNone""']"
79,"
SELECT DISTINCT?uri WHERE { <http://dbpedia.org/resource/Kwai_Chang-Caine> <http://dbpedia.org/ontology/religion>?uri. }
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
80,"
SELECT DISTINCT?uri WHERE {?uri <http://dbpedia.org/property/relatives>?x.?x <http://dbpedia.org/property/relatives> <http://dbpedia.org/resource/Kelly_Osbourne>.?x <http://dbpedia.org/property/relatives> <http://dbpedia.org/resource/Ozzy_Osbourne>. }
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
81,"
SELECT DISTINCT?uri WHERE { <http://dbpedia.org/resource/Pullaiahgaripalli> <http://dbpedia.org/property/leaderTitle>?x.?x <http://dbpedia.org/property/houses>?uri .?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Legislature>}
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Lok_Sabha'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Rajya_Sabha'}}]}}"
82,"
SELECT?uri WHERE { <http://dbpedia.org/resource/Daund_Junction_railway_station> <http://dbpedia.org/ontology/servingRailwayLine>?uri. <http://dbpedia.org/resource/99_(2009_film)> <http://dbpedia.org/ontology/filmingLocation>?uri. }
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
83,"
SELECT DISTINCT?uri WHERE { <http://dbpedia.org/resource/Riley_Reid> <http://dbpedia.org/property/ethnicity>?uri } 
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Chickasaw'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Puerto_Ricans_in_the_United_States'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Cherokee'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Dominican_Americans_(Dominican_Republic)'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Irish_Americans'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/German_Americans'}}, {'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Dutch_Americans'}}]}}"
84,"
SELECT DISTINCT?uri WHERE {?x <http://dbpedia.org/property/subsidiary> <http://dbpedia.org/resource/Viacom_Productions>.?uri <http://dbpedia.org/property/company>?x .?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/TelevisionShow>}
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
85,"
SELECT DISTINCT?uri WHERE {?uri <http://dbpedia.org/ontology/leader> <http://dbpedia.org/resource/Giuseppe_Bertello>.?uri <http://dbpedia.org/ontology/leader> <http://dbpedia.org/resource/Pietro_Parolin> }
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Vatican_City'}}]}}"
86,"
SELECT DISTINCT?uri WHERE {?uri <http://dbpedia.org/ontology/campus> <http://dbpedia.org/resource/Mount_Moosilauke>.?uri <http://www.w3.org/1999/02#type> <http://dbpedia.org/ontology/University>}
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
87,"
SELECT (COUNT(DISTINCT?uri) AS?count) WHERE { <http://dbpedia.org/resource/Sanggar_Agung> <http://dbpedia.org/property/religion>?uri. }
","{'head': {'link': [], 'vars': ['count']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'count': {'type': 'typed-literal', 'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'value': '0'}}]}}"
88,"
SELECT (COUNT(?uri) AS?count) WHERE {?uri <http://dbpedia.org/property/programmingLanguage> <http://dbpedia.org/resource/C++> }
","{'head': {'link': [], 'vars': ['count']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'count': {'type': 'typed-literal', 'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'value': '1003'}}]}}"
89,"
 SELECT DISTINCT?garrison?line WHERE { <http://dbpedia.org/resource/Western_Naval_Command> <http://dbpedia.org/property/garrison>?garrison. <http://dbpedia.org/resource/Vadodara_Junction_railway_station> <http://dbpedia.org/property/line>?line } 
","{'head': {'link': [], 'vars': ['garrison', 'line']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'garrison': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Maharashtra'}, 'line': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Mumbai'}}, {'garrison': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Maharashtra'}, 'line': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Chhota_Udaipur'}}, {'garrison': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Maharashtra'}, 'line': {'type': 'uri', 'value': 'http://dbpedia.org/resource/New_Delhi'}}, {'garrison': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Maharashtra'}, 'line': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Vadodara'}}, {'garrison': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Maharashtra'}, 'line': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Ahmedabad'}}, {'garrison': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Mumbai'}, 'line': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Mumbai'}}, {'garrison': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Mumbai'}, 'line': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Chhota_Udaipur'}}, {'garrison': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Mumbai'}, 'line': {'type': 'uri', 'value': 'http://dbpedia.org/resource/New_Delhi'}}, {'garrison': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Mumbai'}, 'line': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Vadodara'}}, {'garrison': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Mumbai'}, 'line': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Ahmedabad'}}]}}"
90,"
SELECT DISTINCT?uri WHERE {?x <http://dbpedia.org/property/owner> <http://dbpedia.org/resource/Steve_Holland>.?x <http://dbpedia.org/ontology/owner>?uri .?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/SoccerClub>}
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
91,"
SELECT DISTINCT?uri WHERE { <http://dbpedia.org/resource/2014–15_Panionios_G.S.S._season> <http://dbpedia.org/property/stadium>?uri.?uri <http://dbpedia.org/ontology/location>?location.?location <http://dbpedia.org/ontology/coordinates>?coord. FILTER (str(?coord) = ""37.9794"" && str(?coord) = ""23.7662"")}
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
92,"
ASK WHERE { <http://dbpedia.org/resource/Don%27t_Bring_Me_Down> <http://dbpedia.org/property/recorded>  <http://dbpedia.org/resource/West_Germany> }
","{'head': {'link': []}, 'boolean': False}"
93,"
SELECT DISTINCT?uri WHERE {?x <http://dbpedia.org/property/source> <http://dbpedia.org/resource/Montauk_State_Park>.?x <http://dbpedia.org/ontology/city>?uri .?uri <http://www.w3.org/1999ns#type> <http://dbpedia.org/ontology/City>}
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
94,"
SELECT (COUNT(DISTINCT?uri) AS?count) WHERE { <http://dbpedia.org/resource/Boonchu_Rojanastien> <http://dbpedia.org/property/party>?x.?x <http://dbpedia.org/ontology/ideology>?uri . }
","{'head': {'link': [], 'vars': ['count']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'count': {'type': 'typed-literal', 'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'value': '8'}}]}}"
95,"
SELECT DISTINCT?uri WHERE { <http://dbpedia.org/resource/PLUS_Helicopter_Services> <http://dbpedia.org/property/hubs>?uri } 
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': []}}"
96,"
SELECT DISTINCT?movie WHERE {?movie <http://dbpedia.org/ontology/musicComposer> <http://dbpedia.org/resource/Geoffrey_Burgon>.?movie <http://dbpedia.org/ontology/distributor> <http://dbpedia.org/resource/Cinema_International_Corporation>.?movie <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film>}
","{'head': {'link': [], 'vars': ['movie']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'movie': {'type': 'uri', 'value': ""http://dbpedia.org/resource/Monty_Python's_Life_of_Brian""}}]}}"
97,"
ASK WHERE { <http://dbpedia.org/resource/Henry_David_Thoreau> <http://dbpedia.org/property/interests> <http://dbpedia.org/resource/Politics> }
","{'head': {'link': []}, 'boolean': False}"
98,"
SELECT DISTINCT?uri WHERE {?uri <http://dbpedia.org/property/keyPeople> <http://dbpedia.org/resource/Dennis_Muilenburg>.?uri <http://dbpedia.org/ontology/product> <http://dbpedia.org/resource/Boeing_CH-47_Chinook> .?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Company>}
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Boeing'}}]}}"
99,"
SELECT DISTINCT?uri WHERE {?uri <http://dbpedia.org/ontology/leader> <http://dbpedia.org/resource/Giuseppe_Bertello>.?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Country>}
","{'head': {'link': [], 'vars': ['uri']}, 'results': {'distinct': False, 'ordered': True, 'bindings': [{'uri': {'type': 'uri', 'value': 'http://dbpedia.org/resource/Vatican_City'}}]}}"
